accuracy,loss,val_accuracy,val_loss,epoch
0.7570000290870667,0.5546515583992004,0.5,0.7500839829444885,0
0.734499990940094,0.4702480733394623,0.5,0.8935801982879639,1
0.7459920048713684,0.44535475969314575,0.5625,0.6855507493019104,2
0.7705000042915344,0.4122026860713959,0.5625,0.7670551538467407,3
0.7985000014305115,0.3886023759841919,0.75,0.6147554516792297,4
0.836172342300415,0.3467097580432892,0.75,0.6664314866065979,5
0.8374999761581421,0.33927783370018005,0.875,0.4877363443374634,6
0.8532063961029053,0.3104771375656128,0.6875,1.3766764402389526,7
0.8519999980926514,0.3231061100959778,0.8125,0.5735281705856323,8
0.8684999942779541,0.29713383316993713,0.8125,0.5569682121276855,9
